id,user,buries,kickouts,sum,ratio,dist,,,
18950,Kargaroth,0,129985,129985,0,1.6868225252,,,
18951,Aradna,0,15798,15798,0,1.6868225252,,,
18952,Morfix,0,14876,14876,0,1.6868225252,,,
18953,X_54,0,13917,13917,0,1.6868225252,,,
18954,Wiceps,0,9310,9310,0,1.6868225252,,,
18955,iniekcja,0,9189,9189,0,1.6868225252,,,
18956,Maxia,0,6042,6042,0,1.6868225252,,,
18957,marcin105,0,5225,5225,0,1.6868225252,,,
18958,platorin,0,3645,3645,0,1.6868225252,,,
18959,matii1986,0,2828,2828,0,1.6868225252,,,
18960,Spoooxy,0,2759,2759,0,1.6868225252,,,
18961,nerv,0,2584,2584,0,1.6868225252,,,
18962,maciek_ssi,0,2575,2575,0,1.6868225252,,,
18963,lejzyhy,0,2539,2539,0,1.6868225252,,,
18964,komar,0,2336,2336,0,1.6868225252,,,
18965,Najki,0,1935,1935,0,1.6868225252,,,
18966,chenoch,0,1712,1712,0,1.6868225252,,,
18967,Velasquez,0,1709,1709,0,1.6868225252,,,
18968,mihu,0,1682,1682,0,1.6868225252,,,
18969,rewolwerowiec5,0,1608,1608,0,1.6868225252,,,
18970,romekkw,0,1552,1552,0,1.6868225252,,,
18971,sivvy,0,1469,1469,0,1.6868225252,,,
18972,djKris,0,1172,1172,0,1.6868225252,,,
18973,gfdyx88,0,1164,1164,0,1.6868225252,,,
18974,pogodrops,0,1103,1103,0,1.6868225252,,,
18975,iness,0,1076,1076,0,1.6868225252,,,
18976,DamSon,0,1070,1070,0,1.6868225252,,,
18977,pawel-de,0,1058,1058,0,1.6868225252,,,
18978,alyszek,0,1048,1048,0,1.6868225252,,,
18979,Superania,0,1046,1046,0,1.6868225252,,,
18980,MrTofu,0,1013,1013,0,1.6868225252,,,
18981,nakadzia,0,987,987,0,1.6868225252,,,
18982,srutututumajtkizdrutu,0,958,958,0,1.6868225252,,,
18983,AmiBolo,0,849,849,0,1.6868225252,,,
18984,ceglik78,0,844,844,0,1.6868225252,,,
18985,Mamut,0,842,842,0,1.6868225252,,,
18986,krokik,0,795,795,0,1.6868225252,,,
18987,rfc,0,792,792,0,1.6868225252,,,
18988,Notabene,0,761,761,0,1.6868225252,,,
18989,Viator,0,754,754,0,1.6868225252,,,
18990,flaj,0,729,729,0,1.6868225252,,,
18991,vermon7,0,701,701,0,1.6868225252,,,
18992,bartix3,0,628,628,0,1.6868225252,,,
18993,haqi,0,620,620,0,1.6868225252,,,
18994,helonek,0,617,617,0,1.6868225252,,,
18995,zgredd,0,611,611,0,1.6868225252,,,
18996,dziubenzo,0,594,594,0,1.6868225252,,,
18997,hovard,0,592,592,0,1.6868225252,,,
18998,WojakWszechmocny,0,592,592,0,1.6868225252,,,
18999,rafau84,0,588,588,0,1.6868225252,,,
19000,soldati,0,587,587,0,1.6868225252,,,
19001,Ikarus,0,579,579,0,1.6868225252,,,
19002,SzwedzkaPompkaDoPowiekszaniaPenisa,0,574,574,0,1.6868225252,,,
19003,onze,0,573,573,0,1.6868225252,,,
19004,picasssss1,0,571,571,0,1.6868225252,,,
19005,kryptofiles,0,570,570,0,1.6868225252,,,
19006,xaban,0,567,567,0,1.6868225252,,,
19007,syncro,0,566,566,0,1.6868225252,,,
19008,KST_,0,559,559,0,1.6868225252,,,
19009,Mariakowski,0,558,558,0,1.6868225252,,,
19010,shadowzero,0,541,541,0,1.6868225252,,,
19011,MarCas,0,535,535,0,1.6868225252,,,
19012,gosia_wro,0,534,534,0,1.6868225252,,,
19013,boro007,0,533,533,0,1.6868225252,,,
19014,boo9,0,530,530,0,1.6868225252,,,
19015,NituS,0,525,525,0,1.6868225252,,,
19016,azienc,0,515,515,0,1.6868225252,,,
19017,davids,0,514,514,0,1.6868225252,,,
19018,Brut_all,0,506,506,0,1.6868225252,,,
19019,budzik,0,503,503,0,1.6868225252,,,
19020,doniaczek88,0,502,502,0,1.6868225252,,,
19021,smorek,0,496,496,0,1.6868225252,,,
19022,agatta,0,494,494,0,1.6868225252,,,
19023,piotrow,0,490,490,0,1.6868225252,,,
19024,maniekm111,0,487,487,0,1.6868225252,,,
19025,sep870,0,485,485,0,1.6868225252,,,
19026,#NAME?,0,48,48,0,1.6868225252,,,
19027,dwinbar,0,479,479,0,1.6868225252,,,
19028,wmiko,0,479,479,0,1.6868225252,,,
19029,tooomek,0,478,478,0,1.6868225252,,,
19030,SlaFF1991,0,474,474,0,1.6868225252,,,
19031,Matthew23,0,467,467,0,1.6868225252,,,
19032,czterdziesci_i_cztery,0,465,465,0,1.6868225252,,,
19033,Offk,0,463,463,0,1.6868225252,,,
19034,mirdaroh,0,456,456,0,1.6868225252,,,
19035,wandaaaa,0,455,455,0,1.6868225252,,,
19036,Sue_92,0,454,454,0,1.6868225252,,,
19037,cougarek,0,451,451,0,1.6868225252,,,
19038,klmm,0,447,447,0,1.6868225252,,,
19039,ch0sen,0,445,445,0,1.6868225252,,,
19040,matwrc,0,436,436,0,1.6868225252,,,
19041,PogryzeWszystko,0,431,431,0,1.6868225252,,,
19042,igus,0,429,429,0,1.6868225252,,,
